query,searched_part,url,title,price,currency,price_num,matched_part,matched_brand,part_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Tipo,spec:Registro Inmetro,spec:Posição,spec:Composição,spec:Código de barras,spec:Código da Montadora,spec:Aplicação,spec:Consulte o Manual,spec:Conteúdo
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10206133/amortecedor-dianteiro-mbb-cofap-l13753-unitario,Amortecedor Dianteiro Mbb - Cofap - L13753 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,L13753,87089990,,,,,,,Original Mercedes-Benz: A9583232000,,,Unitário
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554084/amortecedor-dianteiro-spa-cofap-sl13625-unitario,Amortecedor Dianteiro Spa - Cofap - SL13625 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL13625,8708800001,12 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,SPA,"021/2013, 4167/2012",Dianteira,Unitário,7891579342966,,CHEVROLET A10 1983 | Todas as versões - CHEVROLET A10 1984 | Todas as versões - CHEVROLET A10 1985 | Todas as versões - CHEVROLET A10 1986 | Todas as VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1687499/amortecedor-dianteiro-spa-cofap-sc30320-par,Amortecedor Dianteiro Spa - Cofap - SC30320 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC30320,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Par,7891579216410,,FIAT DUNA 1993 | Todas as versões - FIAT DUNA 1994 | Todas as versões - FIAT DUNA 1995 | Todas as versões - FIAT DUNA 1996 | Todas as versões - FIAT E VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1692169/amortecedor-dianteiro-spa-cofap-sb27449-par,Amortecedor Dianteiro Spa - Cofap - SB27449 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SB27449,8708800001,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"021/2013, 1894/2013, 4167/2012",Dianteira,Par,7891579298416,,VOLKSWAGEN KOMBI 1958 | 1200 | 1500 - VOLKSWAGEN KOMBI 1960 | 1200 | 1500 - VOLKSWAGEN KOMBI 1961 | 1200 | 1500 - VOLKSWAGEN KOMBI 1962 | 1200 | 1500 VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1699736/amortecedor-dianteiro-spa-cofap-sc32550-par,Amortecedor Dianteiro Spa - Cofap - SC32550 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC32550,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Par,7891579121417,,CHEVROLET IPANEMA 1989 | Todas as versões - CHEVROLET IPANEMA 1990 | Todas as versões - CHEVROLET IPANEMA 1991 | Todas as versões - CHEVROLET IPANEMA VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1691996/amortecedor-dianteiro-spa-cofap-sb27003-par,Amortecedor Dianteiro Spa - Cofap - SB27003 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SB27003,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"021/2013, 4167/2012",Dianteira,Par,7891579022677,,VOLKSWAGEN BRASILIA 1973 | Todas as versões - VOLKSWAGEN BRASILIA 1974 | Todas as versões - VOLKSWAGEN BRASILIA 1975 | Todas as versões - VOLKSWAGEN B VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1700656/amortecedor-dianteiro-spa-cofap-sc32548-par,Amortecedor Dianteiro Spa - Cofap - SC32548 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC32548,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Par,7891579121394,,CHEVROLET MONZA 1983 | Todas as versões - CHEVROLET MONZA 1984 | Todas as versões - CHEVROLET MONZA 1985 | Todas as versões - CHEVROLET MONZA 1986 | T VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1691952/amortecedor-dianteiro-spa-cofap-sb27019-par,Amortecedor Dianteiro Spa - Cofap - SB27019 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SB27019,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"021/2013, 4167/2012",Dianteira,Par,7891579022783,,CHEVROLET CARAVAN 1974 | COMODORO 2.5 L 8V SOHC L4 - CHEVROLET CARAVAN 1975 | Todas as versões - CHEVROLET CARAVAN 1976 | Todas as versões - CHEVROLET VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1692489/amortecedor-dianteiro-spa-cofap-sl13625-par,Amortecedor Dianteiro Spa - Cofap - SL13625 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL13625,8708800001,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"021/2013, 4167/2012",Dianteira,Par,7891579342966,,CHEVROLET A10 1983 | Todas as versões - CHEVROLET A10 1984 | Todas as versões - CHEVROLET A10 1985 | Todas as versões - CHEVROLET A10 1986 | Todas as VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1693898/amortecedor-dianteiro-spa-cofap-sc32738-par,Amortecedor Dianteiro Spa - Cofap - SC32738 - Par,,,,,Cofap,0,PAR,2,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC32738,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Par,7891579216434,,FIAT TEMPRA 1992 | 16V - FIAT TEMPRA 1993 | 16V - FIAT TEMPRA 1994 | 8V (PARA VEÍCULOS FABRICADOS A PARTIR DE MAIO DE 1994) | 16V - FIAT TEMPRA 1995 | VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554293/amortecedor-dianteiro-spa-cofap-sl13621-unitario,Amortecedor Dianteiro Spa - Cofap - SL13621 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL13621,8708800001,12 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,SPA,"021/2013, 4167/2012",Dianteira,Unitário,7891579342379,,FORD F 1000 1997 | REGULAR CAB TURBO DIESEL | XL TURBO DIESEL | XLT 4.9I TURBO DIESEL | XLT TURBO DIESEL - FORD F 1000 1998 | REGULAR CAB TURBO DIESEL VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554374/amortecedor-dianteiro-super-cofap-b47069-unitario,Amortecedor Dianteiro Super - Cofap - B.47069 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,B.47069,8708800001,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Super,"021/2013, 4167/2012",Dianteira,Unitário,7891579002082,Kia: NK71E-34-700,ASIA TOPIC 1993 | Todas as versões - ASIA TOPIC 1994 | Todas as versões - ASIA TOPIC 1995 | Todas as versões - ASIA TOPIC 1996 | Todas as versões - AS VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1012733/amortecedor-dianteiro-super-cofap-32176-unitario,Amortecedor Dianteiro Super - Cofap - 32176 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,32176,8708800002,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Super,"024/2013, 1906/2018, 4164/2012, 6978/2016",Dianteira,Unitário,7891579000958,Chevrolet: 93218896,CHEVROLET IPANEMA 1989 | Todas as versões - CHEVROLET IPANEMA 1990 | Todas as versões - CHEVROLET IPANEMA 1991 | Todas as versões - CHEVROLET IPANEMA VER MAIS,Download,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1001849/amortecedor-dianteiro-super-cofap-l12134-unitario,Amortecedor Dianteiro Super - Cofap - L.12134 - Unitário,,,,,Cofap,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,L.12134,8708800001,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Super,"021/2013, 4167/2012",Dianteira,Unitário,7891579093653,Chevrolet: 93228966,CHEVROLET A20 1993 | 4X2 - CHEVROLET A20 1994 | 4X2 - CHEVROLET A20 1995 | 4X2 - CHEVROLET A20 1996 | 4X2 - CHEVROLET A20 1997 | Todas as versões - CH VER MAIS,Download,
